"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
0.0;"brohaja01";0.24947186379928316;0.2941;0.2334;0.0607;0.8374
5.0;"brownla01";0.26658063314711355;0.3192;0.2343;0.0848;0.7672
5.0;"brownol02";0.3413858657243816;0.4888;0.2921;0.1966;0.6282
9.0;"brutobi01";0.33588413461538463;0.4296;0.2781;0.1515;0.6923
4.0;"bryest01";0.2929384912959381;0.3648;0.2828;0.082;0.7464
2.0;"buddido01";0.31772517123287675;0.3682;0.2374;0.1308;0.6695
8.0;"bufordo01";0.3798043233082707;0.4766;0.2895;0.1871;0.6769
2.0;"burleri01";0.3279219471947195;0.3833;0.2907;0.0926;0.7771
8.0;"burroje01";0.40471786310517527;0.5287;0.3012;0.2275;0.5986
3.0;"busbyji01";0.33547898089171974;0.4147;0.3123;0.1024;0.776
5.0;"cabelen01";0.31831646341463415;0.4384;0.2816;0.1568;0.6648
7.0;"callijo01";0.35413065693430656;0.5089;0.2617;0.2472;0.5494
6.0;"campabe01";0.32897027863777084;0.4478;0.2786;0.1692;0.6786
5.0;"camparo01";0.42560610169491525;0.6108;0.3121;0.2987;0.5679
3.0;"campbda01";0.2602961538461538;0.3356;0.2186;0.117;0.6693
9.0;"cardejo02";0.3479955857385399;0.454;0.2908;0.1632;0.6968
5.0;"cardele01";0.32542797319933;0.4309;0.2873;0.1436;0.7063
10.0;"carewro01";0.4268050147492626;0.5698;0.388;0.1818;0.7155
3.0;"careyan01";0.295525;0.3784;0.2569;0.1216;0.7176
4.0;"carrach01";0.3174140449438202;0.3677;0.2548;0.1129;0.7278
3.0;"cartega01";0.3706931856899489;0.5249;0.2835;0.2414;0.5811
7.0;"cartyri01";0.44014855595667873;0.5837;0.3661;0.2176;0.7086
2.0;"casanpa01";0.2614704044117647;0.339;0.2481;0.0909;0.7786
6.0;"cashda01";0.3203968462549277;0.3877;0.3047;0.083;0.7793
3.0;"cashno01";0.4779557603686636;0.6617;0.3607;0.3009;0.6321
4.0;"castipe01";0.2940346228239845;0.361;0.2614;0.0996;0.7619
1.0;"caterda01";0.3120538878842677;0.4027;0.2704;0.1323;0.741
8.0;"causewa01";0.31933858784893265;0.3953;0.2798;0.1155;0.7161
3.0;"cedence01";0.3835343309859155;0.5371;0.32;0.2171;0.631
3.0;"cepedor01";0.40454207999999997;0.6085;0.3111;0.2974;0.5714
7.0;"cervbo01";0.40319928825622775;0.5922;0.3049;0.2874;0.586
8.0;"ceyro01";0.37897373029772335;0.499;0.2813;0.2177;0.6423
4.0;"chalkda01";0.3060908620689655;0.3545;0.2775;0.0771;0.7778
1.0;"champmi01";0.24379061913696062;0.286;0.2288;0.0572;0.819
7.0;"chaneda01";0.2841001821493625;0.3306;0.252;0.0786;0.768
0.0;"charled01";0.3501771428571429;0.4542;0.2879;0.1664;0.6883
5.0;"chrisjo01";0.35149598662207354;0.4659;0.3002;0.1657;0.6933
3.0;"cimolgi01";0.31913928571428574;0.4297;0.2794;0.1503;0.6207
4.0;"clarkho01";0.3087030215827338;0.3666;0.2855;0.0811;0.7978
3.0;"clarkja01";0.3700024767801858;0.5372;0.3057;0.2314;0.5635
6.0;"clemero01";0.39843449419568827;0.5594;0.3514;0.208;0.6866
5.0;"clenddo01";0.3717330112721417;0.5201;0.2995;0.2207;0.6491
6.0;"clinege01";0.2727770212765957;0.3161;0.2758;0.0404;0.878
3.0;"clintlo01";0.30216716171617164;0.4161;0.2321;0.1839;0.6
5.0;"coangi01";0.33958233276157807;0.4257;0.303;0.1227;0.7485
3.0;"colavro01";0.4280097902097902;0.6196;0.3027;0.317;0.527
4.0;"colbena01";0.3540011164274322;0.5087;0.2587;0.25;0.5878
3.0;"coledi01";0.29030243902439024;0.3416;0.2695;0.072;0.7863
2.0;"colemgo01";0.3519035523978686;0.5038;0.2865;0.2173;0.6174
2.0;"comerwa01";0.325544778761062;0.3805;0.2453;0.1351;0.7119
9.0;"conceda01";0.329293893129771;0.4153;0.2814;0.1339;0.7349
1.0;"conigto01";0.35968135888501745;0.5125;0.2687;0.2438;0.5857
7.0;"courtcl01";0.2984278978388998;0.3444;0.2511;0.0933;0.7699
1.0;"cowanbi01";0.28467173489278746;0.4044;0.2414;0.163;0.675
3.0;"cowenal01";0.3732929878048781;0.5248;0.3119;0.2129;0.6349
10.0;"coxbi02";0.3229888663967611;0.411;0.2791;0.1319;0.7008
11.0;"crandde01";0.3263931153184166;0.4302;0.2942;0.1359;0.7848
9.0;"crawfwi01";0.361357196969697;0.453;0.2954;0.1575;0.6889
5.0;"crowege01";0.34562759924385633;0.504;0.2713;0.2328;0.6119
3.0;"cruzhe01";0.26981572438162543;0.3384;0.2281;0.1103;0.7417
7.0;"cruzjo01";0.3528327131782945;0.475;0.2988;0.1762;0.6647
5.0;"cunnijo01";0.39995926605504584;0.4782;0.345;0.1332;0.7405
2.0;"dadepa01";0.298331;0.3557;0.2907;0.0651;0.8433
3.0;"dalrycl01";0.29454312114989734;0.365;0.2522;0.1128;0.7544
7.0;"darkal01";0.34947738619676944;0.4884;0.2998;0.1886;0.6392
10.0;"darwibo01";0.3300107719928187;0.4425;0.2671;0.1754;0.6788
2.0;"davalvi01";0.3070128971962617;0.3723;0.301;0.0713;0.8355
4.0;"davenji01";0.3475479323308271;0.4557;0.2969;0.1588;0.6944
